Booking_ID,room_type_reserved,market_segment_type,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,no_of_special_requests
INN00079,Room_Type 4,Online,0,0,0,2
INN00080,Room_Type 1,Offline,0,0,0,1
INN00081,Room_Type 6,Online,0,0,0,0
INN00082,Room_Type 4,Online,0,0,0,0
INN00083,Room_Type 1,Online,0,0,0,2
INN00084,Room_Type 4,Online,0,0,0,0
INN00085,Room_Type 4,Online,0,0,0,1
INN00086,Room_Type 1,Online,0,0,0,2
INN00087,Room_Type 1,Online,0,0,0,1
INN00088,Room_Type 1,Online,0,0,0,0
INN00089,Room_Type 1,Online,1,0,5,0
INN00090,Room_Type 5,Offline,0,0,0,0
INN00091,Room_Type 1,Online,0,0,0,1
INN00092,Room_Type 1,Online,0,0,0,0
INN00093,Room_Type 4,Online,0,0,0,1
INN00094,Room_Type 4,Online,0,0,0,1
INN00095,Room_Type 1,Online,0,0,0,0
INN00096,Room_Type 1,Online,0,0,0,2
INN00097,Room_Type 1,Online,0,0,0,1
INN00098,Room_Type 1,Online,0,0,0,1
INN00099,Room_Type 1,Online,0,0,0,1
INN00100,Room_Type 6,Online,0,0,0,0
INN00101,Room_Type 1,Online,0,0,0,2
INN00102,Room_Type 4,Online,0,0,0,2
INN00103,Room_Type 1,Online,0,0,0,2
INN00104,Room_Type 1,Online,0,0,0,1
INN00105,Room_Type 1,Online,0,0,0,1
INN00106,Room_Type 1,Offline,0,0,0,0
INN00107,Room_Type 1,Online,0,0,0,0
INN00108,Room_Type 4,Online,0,0,0,1
INN00109,Room_Type 1,Online,0,0,0,1
INN00110,Room_Type 1,Online,0,0,0,3
INN00111,Room_Type 1,Online,0,0,0,2
INN00112,Room_Type 1,Online,0,0,0,1
INN00113,Room_Type 1,Online,0,0,0,2
INN00114,Room_Type 1,Online,0,0,0,1
INN00115,Room_Type 2,Online,0,0,0,1
INN00116,Room_Type 4,Online,0,0,0,1
INN00117,Room_Type 4,Online,0,0,0,0
INN00118,Room_Type 1,Online,0,0,0,3
INN00119,Room_Type 1,Online,0,0,0,0
INN00120,Room_Type 1,Online,0,0,0,1
INN00121,Room_Type 1,Online,0,0,0,1
INN00122,Room_Type 1,Offline,0,0,0,0
INN00123,Room_Type 1,Online,0,0,0,0
INN00124,Room_Type 1,Online,0,0,0,0
INN00125,Room_Type 4,Online,0,0,0,2
INN00126,Room_Type 1,Offline,0,0,0,0
INN00127,Room_Type 1,Online,0,0,0,1
INN00128,Room_Type 6,Online,0,0,0,0
INN00129,Room_Type 1,Offline,0,0,0,0
INN00130,Room_Type 4,Online,0,0,0,1
INN00131,Room_Type 1,Online,0,0,0,2
INN00132,Room_Type 1,Online,0,0,0,2
INN00133,Room_Type 1,Online,0,0,0,2
INN00134,Room_Type 4,Offline,0,0,0,0
INN00135,Room_Type 1,Online,0,0,0,0
INN00136,Room_Type 4,Online,0,0,0,2
INN00137,Room_Type 1,Online,0,0,0,2
INN00138,Room_Type 1,Online,0,0,0,2
INN00139,Room_Type 1,Online,0,0,0,0
INN00140,Room_Type 4,Online,0,0,0,0
INN00141,Room_Type 1,Offline,0,0,0,0
INN00142,Room_Type 1,Online,0,0,0,0
INN00143,Room_Type 1,Online,0,0,0,1
INN00144,Room_Type 1,Online,0,0,0,2
INN00145,Room_Type 1,Online,0,0,0,1
INN00146,Room_Type 1,Complementary,1,3,5,1
INN00147,Room_Type 1,Online,0,0,0,1
INN00148,Room_Type 1,Online,0,0,0,1
INN00149,Room_Type 1,Offline,0,0,0,0
INN00150,Room_Type 4,Online,0,0,0,0
INN00151,Room_Type 1,Online,0,0,0,1
INN00152,Room_Type 4,Online,0,0,0,2
INN00153,Room_Type 1,Online,0,0,0,1
INN00154,Room_Type 1,Online,0,0,0,0
INN00155,Room_Type 1,Offline,0,0,0,0
INN00156,Room_Type 1,Corporate,1,1,5,1
INN00157,Room_Type 4,Online,0,0,0,0
INN00158,Room_Type 1,Offline,0,0,0,0
INN00159,Room_Type 1,Online,0,0,0,0
INN00160,Room_Type 1,Online,0,0,0,0
INN00161,Room_Type 1,Online,0,0,0,2
INN00162,Room_Type 4,Online,0,0,0,1
INN00163,Room_Type 7,Online,0,0,0,1
INN00164,Room_Type 1,Online,0,0,0,1
INN00165,Room_Type 1,Online,0,0,0,2
INN00166,Room_Type 1,Online,0,0,0,0
INN00167,Room_Type 4,Online,0,0,0,0
INN00168,Room_Type 1,Online,0,0,0,1
INN00169,Room_Type 1,Online,0,0,0,0
INN00170,Room_Type 1,Online,0,0,0,1
INN00171,Room_Type 1,Online,0,0,0,0
INN00172,Room_Type 1,Online,0,0,0,0
INN00173,Room_Type 1,Online,0,0,0,1
INN00174,Room_Type 1,Online,0,0,0,1
INN00175,Room_Type 1,Online,0,0,0,1
INN00176,Room_Type 1,Online,0,0,0,0
INN00177,Room_Type 1,Online,0,0,0,1
INN00178,Room_Type 1,Offline,0,0,0,0
INN00179,Room_Type 1,Online,0,0,0,0
INN00180,Room_Type 1,Online,0,0,0,0
INN00181,Room_Type 1,Online,0,0,0,1
INN00182,Room_Type 1,Online,0,0,0,1
INN00183,Room_Type 1,Online,0,0,0,0
INN00184,Room_Type 4,Online,0,0,0,1
INN00185,Room_Type 1,Online,0,0,0,0
INN00186,Room_Type 4,Online,0,0,0,1
INN00187,Room_Type 1,Offline,0,0,0,0
INN00188,Room_Type 4,Online,0,0,0,0
INN00189,Room_Type 1,Online,0,0,0,0
INN00190,Room_Type 4,Online,0,0,0,1
INN00191,Room_Type 1,Online,0,0,0,0
INN00192,Room_Type 1,Online,0,0,0,0
INN00193,Room_Type 1,Online,0,0,0,0
INN00194,Room_Type 1,Online,0,0,0,0
INN00195,Room_Type 4,Online,0,0,0,1
INN00196,Room_Type 1,Offline,0,0,0,0
INN00197,Room_Type 1,Corporate,0,0,0,0
INN00198,Room_Type 1,Offline,0,0,0,0
INN00199,Room_Type 1,Offline,0,0,0,2
INN00200,Room_Type 1,Online,0,0,0,0
INN00201,Room_Type 1,Online,0,0,0,1
INN00202,Room_Type 1,Online,0,0,0,1
INN00203,Room_Type 1,Online,0,0,0,0
INN00204,Room_Type 1,Online,0,0,0,0
INN00205,Room_Type 1,Offline,0,0,0,1
INN00206,Room_Type 1,Online,0,0,0,0
INN00207,Room_Type 1,Online,0,0,0,1
INN00208,Room_Type 1,Offline,0,0,0,0
INN00209,Room_Type 1,Online,0,0,0,0
INN00210,Room_Type 1,Complementary,0,0,0,1
INN00211,Room_Type 1,Online,0,0,0,1
INN00212,Room_Type 1,Offline,0,0,0,1
INN00213,Room_Type 1,Online,0,0,0,2
INN00214,Room_Type 1,Online,0,0,0,1
INN00215,Room_Type 1,Online,0,0,0,1
INN00216,Room_Type 1,Online,0,0,0,0
INN00217,Room_Type 1,Online,0,0,0,2
INN00218,Room_Type 4,Online,0,0,0,1
INN00219,Room_Type 1,Offline,0,0,0,1
INN00220,Room_Type 1,Online,0,0,0,0
INN00221,Room_Type 1,Online,0,0,0,1
INN00222,Room_Type 1,Offline,0,0,0,0
INN00223,Room_Type 1,Online,0,0,0,0
INN00224,Room_Type 1,Offline,0,0,0,1
INN00225,Room_Type 1,Online,0,0,0,1
INN00226,Room_Type 1,Online,0,0,0,1
INN00227,Room_Type 6,Online,0,0,0,1
INN00228,Room_Type 6,Online,0,0,0,2
INN00229,Room_Type 1,Online,0,0,0,1
INN00230,Room_Type 1,Online,0,0,0,0
INN00231,Room_Type 4,Online,0,0,0,0
INN00232,Room_Type 1,Online,0,0,0,1
INN00233,Room_Type 1,Offline,0,0,0,0
INN00234,Room_Type 1,Online,0,0,0,0
INN00235,Room_Type 1,Online,0,0,0,1
INN00236,Room_Type 1,Online,0,0,0,1
INN00237,Room_Type 5,Online,0,0,0,0
INN00238,Room_Type 1,Online,0,0,0,0
INN00239,Room_Type 1,Online,0,0,0,2
INN00240,Room_Type 1,Online,0,0,0,0
INN00241,Room_Type 1,Online,0,0,0,0
INN00242,Room_Type 1,Online,0,0,0,0
INN00243,Room_Type 1,Online,0,0,0,0
INN00244,Room_Type 1,Corporate,0,0,0,1
INN00245,Room_Type 1,Online,0,0,0,1
INN00246,Room_Type 1,Offline,0,0,0,0
INN00247,Room_Type 1,Online,0,0,0,1
INN00248,Room_Type 4,Online,0,0,0,0
INN00249,Room_Type 1,Online,0,0,0,0
INN00250,Room_Type 1,Online,0,0,0,1
INN00251,Room_Type 4,Online,0,0,0,1
INN00252,Room_Type 1,Offline,0,0,0,0
INN00253,Room_Type 1,Online,0,0,0,1
INN00254,Room_Type 1,Offline,0,0,0,0
INN00255,Room_Type 4,Online,0,0,0,0
INN00256,Room_Type 1,Online,0,0,0,1
INN00257,Room_Type 1,Online,0,0,0,0
INN00258,Room_Type 1,Online,0,0,0,0
INN00259,Room_Type 1,Online,0,0,0,1
INN00260,Room_Type 4,Online,0,0,0,1
INN00261,Room_Type 4,Online,0,0,0,3
INN00262,Room_Type 1,Online,0,0,0,0
INN00263,Room_Type 4,Online,0,0,0,1
INN00264,Room_Type 1,Online,0,0,0,1
INN00265,Room_Type 1,Online,0,0,0,0
INN00266,Room_Type 1,Online,0,0,0,2
INN00267,Room_Type 1,Complementary,1,0,1,1
INN00268,Room_Type 1,Complementary,0,0,0,1
INN00269,Room_Type 1,Online,0,0,0,2
INN00270,Room_Type 1,Offline,0,0,0,0
INN00271,Room_Type 1,Corporate,0,0,0,0
INN00272,Room_Type 1,Online,0,0,0,1
INN00273,Room_Type 1,Online,0,0,0,0
INN00274,Room_Type 4,Online,0,0,0,2
INN00275,Room_Type 1,Online,0,0,0,1
INN00276,Room_Type 4,Online,0,0,0,4
INN00277,Room_Type 1,Online,0,0,0,0
INN00278,Room_Type 1,Online,0,0,0,2
INN00279,Room_Type 1,Online,0,0,0,1
INN00280,Room_Type 4,Online,0,0,0,1
INN00281,Room_Type 4,Offline,0,0,0,0
INN00282,Room_Type 1,Online,0,0,0,0
INN00283,Room_Type 1,Online,0,0,0,0
INN00284,Room_Type 1,Online,0,0,0,0
INN00285,Room_Type 1,Online,0,0,0,0
INN00286,Room_Type 1,Online,0,0,0,0
INN00287,Room_Type 6,Online,0,0,0,1
INN00288,Room_Type 1,Online,0,0,0,1
INN00289,Room_Type 2,Complementary,1,0,3,1
INN00290,Room_Type 1,Online,0,0,0,0
INN00291,Room_Type 1,Online,0,0,0,1
INN00292,Room_Type 1,Online,0,0,0,1
INN00293,Room_Type 1,Online,0,0,0,2
INN00294,Room_Type 1,Online,0,0,0,1
INN00295,Room_Type 1,Online,0,0,0,1
INN00296,Room_Type 1,Online,0,0,0,0
INN00297,Room_Type 1,Offline,0,0,0,0
INN00298,Room_Type 1,Online,0,0,0,1
INN00299,Room_Type 1,Offline,0,0,0,3
INN00300,Room_Type 1,Online,0,0,0,2
INN00301,Room_Type 1,Offline,0,0,0,0
INN00302,Room_Type 1,Online,0,0,0,0
INN00303,Room_Type 1,Offline,1,1,0,1
INN00304,Room_Type 4,Online,0,0,0,0
INN00305,Room_Type 1,Online,0,0,0,0
INN00306,Room_Type 4,Online,0,0,0,1
INN00307,Room_Type 1,Online,0,0,0,0
INN00308,Room_Type 4,Offline,0,0,0,0
INN00309,Room_Type 1,Offline,0,0,0,0
INN00310,Room_Type 1,Online,0,0,0,0
INN00311,Room_Type 1,Online,0,0,0,1
INN00312,Room_Type 6,Online,0,0,0,2
INN00313,Room_Type 1,Online,0,0,0,0
INN00314,Room_Type 1,Online,0,0,0,0
INN00315,Room_Type 1,Offline,0,0,0,0
INN00316,Room_Type 4,Online,0,0,0,0
INN00317,Room_Type 1,Offline,0,0,0,0
INN00318,Room_Type 1,Online,0,0,0,1
INN00319,Room_Type 4,Online,0,0,0,1
INN00320,Room_Type 1,Online,0,0,0,1
INN00321,Room_Type 4,Online,0,0,0,2
INN00322,Room_Type 1,Corporate,1,0,3,0
INN00323,Room_Type 1,Online,0,0,0,0
INN00324,Room_Type 1,Online,0,0,0,0
INN00325,Room_Type 1,Online,0,0,0,0
INN00326,Room_Type 1,Online,0,0,0,1
INN00327,Room_Type 4,Online,0,0,0,0
INN00328,Room_Type 1,Online,0,0,0,0
INN00329,Room_Type 1,Offline,1,1,0,0
INN00330,Room_Type 4,Online,0,0,0,1
INN00331,Room_Type 1,Online,0,0,0,0
INN00332,Room_Type 1,Online,0,0,0,0
INN00333,Room_Type 1,Online,0,0,0,0
INN00334,Room_Type 1,Corporate,1,0,1,0
INN00335,Room_Type 4,Offline,0,0,0,1
INN00336,Room_Type 1,Offline,0,0,0,0
INN00337,Room_Type 1,Online,0,0,0,0
INN00338,Room_Type 1,Online,0,0,0,1
INN00339,Room_Type 4,Online,0,0,0,0
INN00340,Room_Type 4,Online,0,0,0,1
INN00341,Room_Type 1,Online,0,0,0,0
INN00342,Room_Type 1,Online,0,0,0,3
INN00343,Room_Type 1,Offline,0,0,0,0
INN00344,Room_Type 1,Offline,0,0,0,0
INN00345,Room_Type 4,Online,0,0,0,0
INN00346,Room_Type 1,Online,0,0,0,3
INN00347,Room_Type 1,Complementary,1,0,4,4
INN00348,Room_Type 1,Offline,0,0,0,0
INN00349,Room_Type 1,Online,0,0,0,1
INN00350,Room_Type 4,Online,0,0,0,1
INN00351,Room_Type 1,Online,0,0,0,0
INN00352,Room_Type 4,Corporate,1,0,3,1
INN00353,Room_Type 1,Online,0,0,0,0
INN00354,Room_Type 1,Online,0,0,0,1
INN00355,Room_Type 4,Online,0,0,0,1
INN00356,Room_Type 6,Online,0,0,0,1
INN00357,Room_Type 1,Online,0,0,0,0
INN00358,Room_Type 1,Offline,0,0,0,0
INN00359,Room_Type 1,Offline,0,0,0,1
INN00360,Room_Type 1,Offline,0,0,0,0
INN00361,Room_Type 4,Offline,0,0,0,3
INN00362,Room_Type 1,Online,0,0,0,2
INN00363,Room_Type 1,Online,0,0,0,1
INN00364,Room_Type 4,Online,0,0,0,1
INN00365,Room_Type 4,Online,0,0,0,2
INN00366,Room_Type 1,Online,0,0,0,1
INN00367,Room_Type 1,Online,0,0,0,0
INN00368,Room_Type 1,Offline,0,0,0,1
INN00369,Room_Type 1,Online,0,0,0,2
INN00370,Room_Type 1,Online,0,0,0,1
INN00371,Room_Type 6,Online,0,0,0,0
INN00372,Room_Type 4,Offline,0,0,0,0
INN00373,Room_Type 7,Online,0,0,0,1
INN00374,Room_Type 1,Offline,0,0,0,0
INN00375,Room_Type 1,Online,0,0,0,1
INN00376,Room_Type 1,Online,0,0,0,1
INN00377,Room_Type 4,Online,0,0,0,0
INN00378,Room_Type 1,Corporate,1,0,12,0
INN00379,Room_Type 1,Online,0,0,0,0
INN00380,Room_Type 1,Offline,0,0,0,0
INN00381,Room_Type 4,Online,0,0,0,1
INN00382,Room_Type 1,Online,0,0,0,2
INN00383,Room_Type 6,Online,0,0,0,0
INN00384,Room_Type 1,Offline,0,0,0,0
INN00385,Room_Type 1,Online,0,0,0,0
INN00386,Room_Type 1,Offline,0,0,0,0
INN00387,Room_Type 4,Online,0,0,0,1
INN00388,Room_Type 4,Online,0,0,0,1
INN00389,Room_Type 6,Online,0,0,0,0
INN00390,Room_Type 1,Corporate,0,0,0,0
INN00391,Room_Type 1,Corporate,0,0,0,0
INN00392,Room_Type 1,Offline,0,0,0,0
INN00393,Room_Type 1,Corporate,1,3,19,0
INN00394,Room_Type 1,Online,0,0,0,1
INN00395,Room_Type 1,Offline,0,0,0,0
INN00396,Room_Type 1,Online,0,0,0,1
INN00397,Room_Type 1,Online,0,0,0,1
INN00398,Room_Type 1,Offline,0,0,0,0
INN00399,Room_Type 1,Online,0,0,0,0
INN00400,Room_Type 1,Online,0,0,0,0
INN00401,Room_Type 1,Online,0,0,0,0
INN00402,Room_Type 1,Online,0,0,0,2
INN00403,Room_Type 1,Online,0,0,0,0
INN00404,Room_Type 2,Online,0,0,0,2
INN00405,Room_Type 1,Online,0,0,0,0
INN00406,Room_Type 1,Online,0,0,0,1
INN00407,Room_Type 1,Online,0,0,0,1
INN00408,Room_Type 6,Online,0,0,0,2
INN00409,Room_Type 4,Online,0,0,0,0
INN00410,Room_Type 1,Online,0,0,0,0
INN00411,Room_Type 1,Online,0,0,0,1
INN00412,Room_Type 1,Online,0,0,0,2
INN00413,Room_Type 1,Online,0,0,0,0
INN00414,Room_Type 4,Online,0,0,0,0
INN00415,Room_Type 1,Offline,0,0,0,0
INN00416,Room_Type 1,Complementary,0,0,0,0
INN00417,Room_Type 4,Offline,0,0,0,0
INN00418,Room_Type 1,Corporate,1,0,1,1
INN00419,Room_Type 1,Online,0,0,0,1
INN00420,Room_Type 1,Offline,0,0,0,1
INN00421,Room_Type 1,Online,0,0,0,2
INN00422,Room_Type 1,Offline,0,0,0,0
INN00423,Room_Type 1,Online,0,0,0,2
INN00424,Room_Type 1,Online,0,0,0,0
INN00425,Room_Type 4,Online,0,0,0,0
INN00426,Room_Type 1,Online,0,0,0,0
INN00427,Room_Type 1,Online,0,0,0,1
INN00428,Room_Type 1,Online,0,0,0,0
INN00429,Room_Type 4,Online,0,0,0,1
INN00430,Room_Type 1,Online,0,0,0,1
INN00431,Room_Type 1,Offline,0,0,0,0
INN00432,Room_Type 1,Complementary,0,0,0,0
INN00433,Room_Type 4,Online,0,0,0,1
INN00434,Room_Type 1,Online,0,0,0,1
INN00435,Room_Type 1,Online,0,0,0,1
INN00436,Room_Type 1,Online,0,0,0,0
INN00437,Room_Type 1,Offline,0,0,0,0
INN00438,Room_Type 1,Online,0,0,0,0
INN00439,Room_Type 4,Online,0,0,0,2
INN00440,Room_Type 1,Online,0,0,0,1
INN00441,Room_Type 1,Online,0,0,0,0
INN00442,Room_Type 1,Online,0,0,0,1
INN00443,Room_Type 1,Online,0,0,0,2
INN00444,Room_Type 1,Online,0,0,0,1
INN00445,Room_Type 1,Offline,0,0,0,0
INN00446,Room_Type 1,Corporate,1,0,3,1
INN00447,Room_Type 4,Online,0,0,0,1
INN00448,Room_Type 1,Offline,0,0,0,0
INN00449,Room_Type 4,Online,0,0,0,0
INN00450,Room_Type 1,Online,0,0,0,1
INN00451,Room_Type 1,Online,0,0,0,1
INN00452,Room_Type 1,Offline,0,0,0,0
INN00453,Room_Type 1,Online,0,0,0,2
INN00454,Room_Type 1,Offline,0,0,0,0
INN00455,Room_Type 1,Offline,0,0,0,1
INN00456,Room_Type 1,Online,0,0,0,1
INN00457,Room_Type 1,Online,0,0,0,1
INN00458,Room_Type 1,Online,0,0,0,0
INN00459,Room_Type 1,Offline,0,0,0,0
INN00460,Room_Type 1,Online,0,0,0,0
INN00461,Room_Type 1,Offline,0,0,0,0
INN00462,Room_Type 4,Online,0,0,0,2
INN00463,Room_Type 1,Corporate,0,0,0,0
INN00464,Room_Type 1,Online,0,0,0,0
INN00465,Room_Type 1,Online,0,0,0,2
INN00466,Room_Type 1,Online,0,0,0,0
INN00467,Room_Type 1,Online,0,0,0,0
INN00468,Room_Type 1,Online,0,0,0,2
INN00469,Room_Type 1,Online,0,0,0,2
INN00470,Room_Type 1,Offline,0,0,0,0
INN00471,Room_Type 1,Offline,0,0,0,0
INN00472,Room_Type 1,Online,0,0,0,1
INN00473,Room_Type 1,Online,0,0,0,1
INN00474,Room_Type 1,Offline,0,0,0,0
INN00475,Room_Type 1,Online,0,0,0,0
INN00476,Room_Type 7,Online,0,0,0,0
INN00477,Room_Type 1,Online,0,0,0,2
INN00478,Room_Type 1,Online,0,0,0,1
INN00479,Room_Type 1,Offline,0,0,0,0
INN00480,Room_Type 1,Online,0,0,0,2
INN00481,Room_Type 1,Online,0,0,0,0
INN00482,Room_Type 4,Online,0,0,0,1
INN00483,Room_Type 1,Offline,0,0,0,0
INN00484,Room_Type 6,Online,0,0,0,2
INN00485,Room_Type 1,Online,0,0,0,1
INN00486,Room_Type 1,Offline,0,0,0,0
INN00487,Room_Type 1,Complementary,0,0,0,1
INN00488,Room_Type 2,Online,0,0,0,0
INN00489,Room_Type 1,Online,0,0,0,0
INN00490,Room_Type 1,Online,0,0,0,1
INN00491,Room_Type 1,Online,0,0,0,0
INN00492,Room_Type 1,Offline,0,0,0,0
INN00493,Room_Type 1,Online,0,0,0,0
INN00494,Room_Type 4,Online,0,0,0,0
INN00495,Room_Type 1,Online,0,0,0,2
INN00496,Room_Type 1,Online,0,0,0,0
INN00497,Room_Type 1,Online,0,0,0,0
INN00498,Room_Type 1,Online,0,0,0,1
INN00499,Room_Type 1,Offline,0,0,0,0
INN00500,Room_Type 4,Offline,0,0,0,1
INN00501,Room_Type 2,Offline,0,0,0,0
INN00502,Room_Type 4,Online,0,0,0,1
INN00503,Room_Type 1,Corporate,0,0,0,0
INN00504,Room_Type 1,Offline,0,0,0,0
INN00505,Room_Type 1,Offline,0,0,0,0
INN00506,Room_Type 4,Online,0,0,0,2
INN00507,Room_Type 4,Online,0,0,0,1
INN00508,Room_Type 1,Online,0,0,0,1
INN00509,Room_Type 1,Online,0,0,0,2
INN00510,Room_Type 4,Offline,0,0,0,0
INN00511,Room_Type 1,Offline,0,0,0,0
INN00512,Room_Type 1,Online,0,0,0,2
INN00513,Room_Type 1,Online,0,0,0,1
INN00514,Room_Type 4,Online,0,0,0,2
INN00515,Room_Type 1,Offline,0,0,0,0
INN00516,Room_Type 1,Offline,0,0,0,0
INN00517,Room_Type 4,Online,0,0,0,1
INN00518,Room_Type 1,Corporate,0,0,0,0
INN00519,Room_Type 1,Online,0,0,0,0
INN00520,Room_Type 1,Online,0,0,0,1
INN00521,Room_Type 4,Online,0,0,0,1
INN00522,Room_Type 4,Online,0,0,0,0
INN00523,Room_Type 4,Online,0,0,0,1
INN00524,Room_Type 1,Offline,0,0,0,0
INN00525,Room_Type 1,Online,0,0,0,1
INN00526,Room_Type 1,Offline,0,0,0,0
INN00527,Room_Type 1,Online,0,0,0,1
INN00528,Room_Type 4,Online,0,0,0,0
INN00529,Room_Type 4,Online,0,0,0,0
INN00530,Room_Type 1,Online,0,0,0,1
INN00531,Room_Type 1,Online,0,0,0,2
INN00532,Room_Type 1,Online,0,0,0,0
INN00533,Room_Type 1,Offline,0,0,0,0
INN00534,Room_Type 1,Online,0,0,0,1
INN00535,Room_Type 4,Online,0,0,0,1
INN00536,Room_Type 4,Online,0,0,0,0
INN00537,Room_Type 6,Online,0,0,0,0
INN00538,Room_Type 1,Online,0,0,0,1
INN00539,Room_Type 1,Online,0,0,0,0
INN00540,Room_Type 4,Online,0,0,0,0
INN00541,Room_Type 1,Complementary,0,0,0,0
INN00542,Room_Type 1,Online,0,0,0,1
INN00543,Room_Type 4,Online,0,0,0,1
INN00544,Room_Type 1,Online,0,0,0,1
INN00545,Room_Type 4,Online,0,0,0,1
INN00546,Room_Type 1,Offline,0,0,0,0
INN00547,Room_Type 1,Online,0,0,0,1
INN00548,Room_Type 1,Online,0,0,0,1
INN00549,Room_Type 1,Online,0,0,0,2
INN00550,Room_Type 1,Offline,0,0,0,0
INN00551,Room_Type 1,Offline,0,0,0,0
INN00552,Room_Type 1,Offline,0,0,0,0
INN00553,Room_Type 1,Online,0,0,0,0
INN00554,Room_Type 4,Complementary,0,0,0,2
INN00555,Room_Type 6,Online,0,0,0,0
INN00556,Room_Type 1,Online,0,0,0,0
INN00557,Room_Type 1,Online,0,0,0,0
INN00558,Room_Type 1,Offline,0,0,0,0
INN00559,Room_Type 1,Online,0,0,0,1
INN00560,Room_Type 1,Online,0,0,0,1
INN00561,Room_Type 1,Online,0,0,0,0
INN00562,Room_Type 1,Online,0,0,0,1
INN00563,Room_Type 4,Online,0,0,0,3
INN00564,Room_Type 1,Online,0,0,0,0
INN00565,Room_Type 1,Online,0,0,0,0
INN00566,Room_Type 1,Offline,0,0,0,0
INN00567,Room_Type 4,Online,0,0,0,1
INN00568,Room_Type 1,Corporate,0,0,0,1
INN00569,Room_Type 1,Online,0,0,0,2
INN00570,Room_Type 4,Online,0,0,0,1
